Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2005,"9.1.2 Air transport, international passengers carried",,Number,,1769327
2006,"9.1.2 Air transport, international passengers carried",,Number,,2340235
2007,"9.1.2 Air transport, international passengers carried",,Number,,2979116
2008,"9.1.2 Air transport, international passengers carried",,Number,,2878513
2009,"9.1.2 Air transport, international passengers carried",,Number,,2524294
2010,"9.1.2 Air transport, international passengers carried",,Number,,3051601
2011,"9.1.2 Air transport, international passengers carried",,Number,,3480843
2012,"9.1.2 Air transport, international passengers carried",,Number,,3997331
2013,"9.1.2 Air transport, international passengers carried",,Number,,4606281
2014,"9.1.2 Air transport, international passengers carried",,Number,,5168687
2015,"9.1.2 Air transport, international passengers carried",,Number,,5606317
2016,"9.1.2 Air transport, international passengers carried",,Number,,6201338
2017,"9.1.2 Air transport, international passengers carried",,Number,,6877284
2018,"9.1.2 Air transport, international passengers carried",,Number,,7626908
2019,"9.1.2 Air transport, international passengers carried",,Number,,8458241
2020,"9.1.2 Air transport, international passengers carried",,Number,,9380189
2005,"9.1.2 Air transport, domestic passengers carried",,Number,,158384
2006,"9.1.2 Air transport, domestic passengers carried",,Number,,159478
2007,"9.1.2 Air transport, domestic passengers carried",,Number,,187066
2008,"9.1.2 Air transport, domestic passengers carried",,Number,,182328
2009,"9.1.2 Air transport, domestic passengers carried",,Number,,143649
2010,"9.1.2 Air transport, domestic passengers carried",,Number,,136678
2011,"9.1.2 Air transport, domestic passengers carried",,Number,,144465
2012,"9.1.2 Air transport, domestic passengers carried",,Number,,172223
2013,"9.1.2 Air transport, domestic passengers carried",,Number,,214418
2014,"9.1.2 Air transport, domestic passengers carried",,Number,,298904
2015,"9.1.2 Air transport, domestic passengers carried",,Number,,436167
2016,"9.1.2 Air transport, domestic passengers carried",,Number,,423478
2017,"9.1.2 Air transport, domestic passengers carried",,Number,,432795
2018,"9.1.2 Air transport, domestic passengers carried",,Number,,442316
2019,"9.1.2 Air transport, domestic passengers carried",,Number,,452047
2020,"9.1.2 Air transport, domestic passengers carried",,Number,,461992
