Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,DC_ODA_BDVL,,PT,,0.038
2017,DC_ODA_BDVL,,PT,,0.038
2018,DC_ODA_BDVL,,PT,,0.036
2019,DC_ODA_BDVL,,PT,,0.031
2020,DC_ODA_BDVL,,PT,,0.029
