Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2015,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.14
2016,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.14
2017,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.13
2018,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.12
2019,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.11
2020,៦.ក.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលពាក់ព័ន្ធទៅនឹងទឹកស្អាតនិងអនាម័យដែលជាផ្នែកនៃផែនការចំណាយសម្របសម្រួលដោយរដ្ឋាភិបាលធៀបនឹង ផ.ស.ស.,,ភាគរយ,,0.11
