Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_MED_DEN,,PER_1000_POP,,1.14
2016,SH_MED_DEN,,PER_1000_POP,,1.3
2017,SH_MED_DEN,,PER_1000_POP,,1.35
2018,SH_MED_DEN,,PER_1000_POP,,1.36
2019,SH_MED_DEN,,PER_1000_POP,,1.37
2020,SH_MED_DEN,,PER_1000_POP,,1.38
