Year,Value,GeoCode,UNIT_MEASURE,SERIES
1992,8488,,HA,N_KH_180101_01
1999,10050,,HA,N_KH_180101_01
2000,13258,,HA,N_KH_180101_01
2001,16726,,HA,N_KH_180101_01
2002,20935,,HA,N_KH_180101_01
2003,24136,,HA,N_KH_180101_01
2004,28201,,HA,N_KH_180101_01
2005,33390,,HA,N_KH_180101_01
2006,38926,,HA,N_KH_180101_01
2007,45463,,HA,N_KH_180101_01
2008,51600,,HA,N_KH_180101_01
2009,6136,,HA,N_KH_180101_01
2010,11950,,HA,N_KH_180101_01
2011,14150,,HA,N_KH_180101_01
2012,8293,,HA,N_KH_180101_01
2013,8920,,HA,N_KH_180101_01
2014,18213,,HA,N_KH_180101_01
2015,18531,,HA,N_KH_180101_01
2016,19087,,HA,N_KH_180101_01
2017,19659,,HA,N_KH_180101_01
2018,20049,,HA,N_KH_180101_01
2019,20857,,HA,N_KH_180101_01
2020,21482,,HA,N_KH_180101_01
