Year,Value,GeoCode,UNIT_MEASURE,SERIES
2005,1769327,,NUMBER,N_KH_090102_01
2006,2340235,,NUMBER,N_KH_090102_01
2007,2979116,,NUMBER,N_KH_090102_01
2008,2878513,,NUMBER,N_KH_090102_01
2009,2524294,,NUMBER,N_KH_090102_01
2010,3051601,,NUMBER,N_KH_090102_01
2011,3480843,,NUMBER,N_KH_090102_01
2012,3997331,,NUMBER,N_KH_090102_01
2013,4606281,,NUMBER,N_KH_090102_01
2014,5168687,,NUMBER,N_KH_090102_01
2015,5606317,,NUMBER,N_KH_090102_01
2016,6201338,,NUMBER,N_KH_090102_01
2017,6877284,,NUMBER,N_KH_090102_01
2018,7626908,,NUMBER,N_KH_090102_01
2019,8458241,,NUMBER,N_KH_090102_01
2020,9380189,,NUMBER,N_KH_090102_01
2005,158384,,NUMBER,N_KH_090102_02
2006,159478,,NUMBER,N_KH_090102_02
2007,187066,,NUMBER,N_KH_090102_02
2008,182328,,NUMBER,N_KH_090102_02
2009,143649,,NUMBER,N_KH_090102_02
2010,136678,,NUMBER,N_KH_090102_02
2011,144465,,NUMBER,N_KH_090102_02
2012,172223,,NUMBER,N_KH_090102_02
2013,214418,,NUMBER,N_KH_090102_02
2014,298904,,NUMBER,N_KH_090102_02
2015,436167,,NUMBER,N_KH_090102_02
2016,423478,,NUMBER,N_KH_090102_02
2017,432795,,NUMBER,N_KH_090102_02
2018,442316,,NUMBER,N_KH_090102_02
2019,452047,,NUMBER,N_KH_090102_02
2020,461992,,NUMBER,N_KH_090102_02
