Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,6,,NUMBER,N_KH_100a01_01
2016,6,,NUMBER,N_KH_100a01_01
2017,7,,NUMBER,N_KH_100a01_01
2018,7,,NUMBER,N_KH_100a01_01
2019,7,,NUMBER,N_KH_100a01_01
2020,10,,NUMBER,N_KH_100a01_01
