Year,Value,GeoCode,UNIT_MEASURE,SERIES
1998,56.3,,Y,N_KH_030101_01
2000,57.5,,Y,N_KH_030101_01
2001,58.2,,Y,N_KH_030101_01
2002,58.9,,Y,N_KH_030101_01
2003,59.6,,Y,N_KH_030101_01
2004,60.3,,Y,N_KH_030101_01
2005,61.0,,Y,N_KH_030101_01
2006,61.7,,Y,N_KH_030101_01
2007,62.4,,Y,N_KH_030101_01
2008,62.4,,Y,N_KH_030101_01
2009,63.8,,Y,N_KH_030101_01
2010,64.5,,Y,N_KH_030101_01
2011,65.2,,Y,N_KH_030101_01
2012,66.7,,Y,N_KH_030101_01
2013,67.6,,Y,N_KH_030101_01
2014,68.3,,Y,N_KH_030101_01
2015,69.1,,Y,N_KH_030101_01
2016,69.9,,Y,N_KH_030101_01
2017,70.6,,Y,N_KH_030101_01
2018,70.6,,Y,N_KH_030101_01
2019,75.5,,Y,N_KH_030101_01
