Year,Value,GeoCode,UNIT_MEASURE,SERIES
1994,-34.8,,PT,NY_GDP_PCAP
1995,9.9,,PT,NY_GDP_PCAP
1996,5.9,,PT,NY_GDP_PCAP
1997,4.0,,PT,NY_GDP_PCAP
1998,4.7,,PT,NY_GDP_PCAP
1999,12.7,,PT,NY_GDP_PCAP
2000,10.7,,PT,NY_GDP_PCAP
2001,7.4,,PT,NY_GDP_PCAP
2002,6.6,,PT,NY_GDP_PCAP
2003,8.5,,PT,NY_GDP_PCAP
2004,10.3,,PT,NY_GDP_PCAP
2005,13.3,,PT,NY_GDP_PCAP
2006,10.8,,PT,NY_GDP_PCAP
2007,10.2,,PT,NY_GDP_PCAP
2008,6.7,,PT,NY_GDP_PCAP
2009,0.1,,PT,NY_GDP_PCAP
2010,6.0,,PT,NY_GDP_PCAP
2011,7.1,,PT,NY_GDP_PCAP
2012,7.3,,PT,NY_GDP_PCAP
2013,7.4,,PT,NY_GDP_PCAP
2014,7.1,,PT,NY_GDP_PCAP
2015,7.0,,PT,NY_GDP_PCAP
2016,7.0,,PT,NY_GDP_PCAP
2017,7.0,,PT,NY_GDP_PCAP
2018,7.5,,PT,NY_GDP_PCAP
2019,7.1,,PT,NY_GDP_PCAP
