Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,6,,NUMBER,N_KH_050c02_01
2017,7,,NUMBER,N_KH_050c02_01
2018,6,,NUMBER,N_KH_050c02_01
2019,8,,NUMBER,N_KH_050c02_01
2020,9,,NUMBER,N_KH_050c02_01
