Year,Value,GeoCode,UNIT_MEASURE,SERIES
1979,4674,,NUMBER,N_KH_180201_01
1980,1343,,NUMBER,N_KH_180201_01
1981,1021,,NUMBER,N_KH_180201_01
1982,1893,,NUMBER,N_KH_180201_01
1983,2761,,NUMBER,N_KH_180201_01
1984,2966,,NUMBER,N_KH_180201_01
1985,3520,,NUMBER,N_KH_180201_01
1986,2902,,NUMBER,N_KH_180201_01
1987,3533,,NUMBER,N_KH_180201_01
1988,2967,,NUMBER,N_KH_180201_01
1989,3333,,NUMBER,N_KH_180201_01
1990,3000,,NUMBER,N_KH_180201_01
1991,2427,,NUMBER,N_KH_180201_01
1992,2189,,NUMBER,N_KH_180201_01
1993,2535,,NUMBER,N_KH_180201_01
1994,2809,,NUMBER,N_KH_180201_01
1995,3333,,NUMBER,N_KH_180201_01
1996,4320,,NUMBER,N_KH_180201_01
1997,2298,,NUMBER,N_KH_180201_01
1998,2150,,NUMBER,N_KH_180201_01
1999,1153,,NUMBER,N_KH_180201_01
2000,858,,NUMBER,N_KH_180201_01
2001,826,,NUMBER,N_KH_180201_01
2002,847,,NUMBER,N_KH_180201_01
2003,772,,NUMBER,N_KH_180201_01
2004,898,,NUMBER,N_KH_180201_01
2005,875,,NUMBER,N_KH_180201_01
2006,450,,NUMBER,N_KH_180201_01
2007,352,,NUMBER,N_KH_180201_01
2008,271,,NUMBER,N_KH_180201_01
2009,244,,NUMBER,N_KH_180201_01
2010,286,,NUMBER,N_KH_180201_01
2011,211,,NUMBER,N_KH_180201_01
2012,186,,NUMBER,N_KH_180201_01
2013,111,,NUMBER,N_KH_180201_01
2014,154,,NUMBER,N_KH_180201_01
2015,111,,NUMBER,N_KH_180201_01
2016,83,,NUMBER,N_KH_180201_01
2017,58,,NUMBER,N_KH_180201_01
2018,58,,NUMBER,N_KH_180201_01
2019,77,,NUMBER,N_KH_180201_01
2020,65,,NUMBER,N_KH_180201_01
