Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2.0,,PT,N_KH_040c05_01
2016,3.9,,PT,N_KH_040c05_01
2017,5.9,,PT,N_KH_040c05_01
2018,9.5,,PT,N_KH_040c05_01
2019,11.2,,PT,N_KH_040c05_01
2020,12.9,,PT,N_KH_040c05_01
