Year,Value,GeoCode,UNIT_MEASURE,SERIES
2004,46.8,,PT,N_KH_04010101_01
2005,42.9,,PT,N_KH_04010101_01
2006,90.1,,PT,N_KH_04010101_01
2007,86.2,,PT,N_KH_04010101_01
2008,85.6,,PT,N_KH_04010101_01
2009,83.2,,PT,N_KH_04010101_01
2010,85.3,,PT,N_KH_04010101_01
2011,89.7,,PT,N_KH_04010101_01
2012,87.4,,PT,N_KH_04010101_01
2013,88.9,,PT,N_KH_04010101_01
2014,84.1,,PT,N_KH_04010101_01
2015,80.6,,PT,N_KH_04010101_01
2016,79.9,,PT,N_KH_04010101_01
2017,79.1,,PT,N_KH_04010101_01
2018,82.1,,PT,N_KH_04010101_01
2019,83.3,,PT,N_KH_04010101_01
