Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,70,,PT,N_KH_140b01_01
2017,70,,PT,N_KH_140b01_01
2018,70,,PT,N_KH_140b01_01
2019,70,,PT,N_KH_140b01_01
2020,70,,PT,N_KH_140b01_01
