Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,1.65,,PT,DC_TOF_INFRAL
2017,1.54,,PT,DC_TOF_INFRAL
2018,1.44,,PT,DC_TOF_INFRAL
2019,1.34,,PT,DC_TOF_INFRAL
2020,1.25,,PT,DC_TOF_INFRAL
