Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,3482,,NUMBER,IT_USE_II99
2001,5096,,NUMBER,IT_USE_II99
2002,6564,,NUMBER,IT_USE_II99
2003,7152,,NUMBER,IT_USE_II99
2004,7671,,NUMBER,IT_USE_II99
2005,8632,,NUMBER,IT_USE_II99
2006,9049,,NUMBER,IT_USE_II99
2007,11779,,NUMBER,IT_USE_II99
2008,20108,,NUMBER,IT_USE_II99
2009,291589,,NUMBER,IT_USE_II99
2010,193858,,NUMBER,IT_USE_II99
2011,1689389,,NUMBER,IT_USE_II99
2012,2706922,,NUMBER,IT_USE_II99
2013,3861979,,NUMBER,IT_USE_II99
2014,5025945,,NUMBER,IT_USE_II99
2015,6443976,,NUMBER,IT_USE_II99
2016,8099132,,NUMBER,IT_USE_II99
2017,10841728,,NUMBER,IT_USE_II99
2018,13611398,,NUMBER,IT_USE_II99
