Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,1.14,,PER_1000_POP,SH_MED_DEN
2016,1.3,,PER_1000_POP,SH_MED_DEN
2017,1.35,,PER_1000_POP,SH_MED_DEN
2018,1.36,,PER_1000_POP,SH_MED_DEN
2019,1.37,,PER_1000_POP,SH_MED_DEN
2020,1.38,,PER_1000_POP,SH_MED_DEN
