Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_171001_01,,NUMBER,,4
2016,N_KH_171001_01,,NUMBER,,9
2017,N_KH_171001_01,,NUMBER,,14
2018,N_KH_171001_01,,NUMBER,,18
2019,N_KH_171001_01,,NUMBER,,23
2020,N_KH_171001_01,,NUMBER,,27
