Year,SERIES,Reference area,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2016,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,,Bottom 40%,Percent,,5.2
2020,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,,Bottom 40%,Percent,,9.2
