Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"5.4.1. Number of legal and policy measures to address and recognize work-life balance, and unpaid care and domestic works, and promote women's increased access to decent employment",,Number,,5
2018,"5.4.1. Number of legal and policy measures to address and recognize work-life balance, and unpaid care and domestic works, and promote women's increased access to decent employment",,Number,,7
