Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,,Number,,75
2019,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,,Number,,125
2020,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,,Number,,50
