Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,N_KH_140b01_01,,PT,,70
2017,N_KH_140b01_01,,PT,,70
2018,N_KH_140b01_01,,PT,,70
2019,N_KH_140b01_01,,PT,,70
2020,N_KH_140b01_01,,PT,,70
