Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2008,3.1.1 Life expectancy at birth,Kandal,,,Years,KH08,65.1
2008,3.1.1 Life expectancy at birth,Kep,Female,,Years,KH23,65.0
2008,3.1.1 Life expectancy at birth,Kep,Male,,Years,KH23,61.2
2008,3.1.1 Life expectancy at birth,Kep,,,Years,KH23,63.0
2008,3.1.1 Life expectancy at birth,Koh Kong,Female,,Years,KH09,60.9
2008,3.1.1 Life expectancy at birth,Koh Kong,Male,,Years,KH09,57.3
2008,3.1.1 Life expectancy at birth,Koh Kong,,,Years,KH09,59.1
2008,3.1.1 Life expectancy at birth,Kratie,Female,,Years,KH10,60.5
2008,3.1.1 Life expectancy at birth,Kratie,Male,,Years,KH10,57.0
2008,3.1.1 Life expectancy at birth,Kratie,,,Years,KH10,58.7
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Female,,Years,KH11,45.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Male,,Years,KH11,52.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,,,Years,KH11,44.0
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Female,,Years,KH22,60.8
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Male,,Years,KH22,57.2
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,,,Years,KH22,59.0
2008,3.1.1 Life expectancy at birth,Pailin,Female,,Years,KH24,64.2
2008,3.1.1 Life expectancy at birth,Pailin,Male,,Years,KH24,60.4
2008,3.1.1 Life expectancy at birth,Pailin,,,Years,KH24,62.3
2008,3.1.1 Life expectancy at birth,Phnom Penh,Female,,Years,KH12,70.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,Male,,Years,KH12,66.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,,,Years,KH12,68.8
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Female,,Years,KH18,54.4
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Male,,Years,KH18,51.3
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,,,Years,KH18,52.8
2008,3.1.1 Life expectancy at birth,Preah Vihear,Female,,Years,KH13,43.4
2008,3.1.1 Life expectancy at birth,Preah Vihear,Male,,Years,KH13,40.5
2008,3.1.1 Life expectancy at birth,Preah Vihear,,,Years,KH13,41.9
2008,3.1.1 Life expectancy at birth,Prey Veng,Female,,Years,KH14,65.7
2008,3.1.1 Life expectancy at birth,Prey Veng,Male,,Years,KH14,61.9
2008,3.1.1 Life expectancy at birth,Prey Veng,,,Years,KH14,63.8
2008,3.1.1 Life expectancy at birth,Pursat,Female,,Years,KH15,65.1
2008,3.1.1 Life expectancy at birth,Pursat,Male,,Years,KH15,61.4
2008,3.1.1 Life expectancy at birth,Pursat,,,Years,KH15,63.2
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Female,,Years,KH16,35.0
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Male,,Years,KH16,32.5
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,,,Years,KH16,33.7
2008,3.1.1 Life expectancy at birth,Siemreap,Female,,Years,KH17,70.0
2008,3.1.1 Life expectancy at birth,Siemreap,Male,,Years,KH17,66.1
2008,3.1.1 Life expectancy at birth,Siemreap,,,Years,KH17,68.7
2008,3.1.1 Life expectancy at birth,Stung Treng,Female,,Years,KH19,54.6
2008,3.1.1 Life expectancy at birth,Stung Treng,Male,,Years,KH19,51.5
2008,3.1.1 Life expectancy at birth,Stung Treng,,,Years,KH19,53.0
2008,3.1.1 Life expectancy at birth,Svay Rieng,Female,,Years,KH20,58.8
2008,3.1.1 Life expectancy at birth,Svay Rieng,Male,,Years,KH20,55.3
2008,3.1.1 Life expectancy at birth,Svay Rieng,,,Years,KH20,57.0
2008,3.1.1 Life expectancy at birth,Takeo,Female,,Years,KH21,64.3
2008,3.1.1 Life expectancy at birth,Takeo,Male,,Years,KH21,60.5
2008,3.1.1 Life expectancy at birth,Takeo,,,Years,KH21,62.4
2019,3.1.1 Life expectancy at birth,,Female,Urban,Years,,77.7
2019,3.1.1 Life expectancy at birth,,Female,Rural,Years,,76.4
2019,3.1.1 Life expectancy at birth,,Male,Rural,Years,,72.8
2019,3.1.1 Life expectancy at birth,,Male,Urban,Years,,73.5
