Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,DC_TRF_TOTL,,USD,,1425
2016,DC_TRF_TOTL,,USD,,1425
2017,DC_TRF_TOTL,,USD,,1425
2018,DC_TRF_TOTL,,USD,,1425
2019,DC_TRF_TOTL,,USD,,1425
2020,DC_TRF_TOTL,,USD,,1425
