Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,N_KH_080a01_01,,PT,,0.018
2017,N_KH_080a01_01,,PT,,0.017
2018,N_KH_080a01_01,,PT,,0.016
2019,N_KH_080a01_01,,PT,,0.015
2020,N_KH_080a01_01,,PT,,0.014
