Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2000,SH_DYN_MORT,,F,Y0T4,,,PER_100_LIVE_BIRTHS,,110.1
2005,SH_DYN_MORT,,F,Y0T4,,,PER_100_LIVE_BIRTHS,,97.0
2010,SH_DYN_MORT,,F,Y0T4,,,PER_100_LIVE_BIRTHS,,59.0
2014,SH_DYN_MORT,,F,Y0T4,,,PER_100_LIVE_BIRTHS,,41.0
2000,SH_DYN_MORT,,M,Y0T4,,,PER_100_LIVE_BIRTHS,,132.8
2005,SH_DYN_MORT,,M,Y0T4,,,PER_100_LIVE_BIRTHS,,115.0
2010,SH_DYN_MORT,,M,Y0T4,,,PER_100_LIVE_BIRTHS,,76.0
2014,SH_DYN_MORT,,M,Y0T4,,,PER_100_LIVE_BIRTHS,,54.0
2000,SH_DYN_MORT,,,Y0T4,,,PER_100_LIVE_BIRTHS,,124.4
2005,SH_DYN_MORT,,,Y0T4,,,PER_100_LIVE_BIRTHS,,83.0
2010,SH_DYN_MORT,,,Y0T4,,,PER_100_LIVE_BIRTHS,,54.0
2014,SH_DYN_MORT,,,Y0T4,,,PER_100_LIVE_BIRTHS,,35.0
2021,SH_DYN_MORT,,,Y0T4,,,PER_100_LIVE_BIRTHS,,16.0
2005,SH_DYN_MORT,,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,,127.0
2010,SH_DYN_MORT,,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,,90.0
2014,SH_DYN_MORT,,,Y0T4,,Q1,PER_100_LIVE_BIRTHS,,76.0
2005,SH_DYN_MORT,,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,,129.0
2010,SH_DYN_MORT,,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,,83.0
2014,SH_DYN_MORT,,,Y0T4,,Q2,PER_100_LIVE_BIRTHS,,56.0
2005,SH_DYN_MORT,,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,,114.0
2010,SH_DYN_MORT,,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,,68.0
2014,SH_DYN_MORT,,,Y0T4,,Q3,PER_100_LIVE_BIRTHS,,41.0
2005,SH_DYN_MORT,,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,,92.0
2010,SH_DYN_MORT,,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,,49.0
2014,SH_DYN_MORT,,,Y0T4,,Q4,PER_100_LIVE_BIRTHS,,33.0
2005,SH_DYN_MORT,,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,,43.0
2010,SH_DYN_MORT,,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,,30.0
2014,SH_DYN_MORT,,,Y0T4,,Q5,PER_100_LIVE_BIRTHS,,19.0
2000,SH_DYN_MORT,,,Y0T4,U,,PER_100_LIVE_BIRTHS,,92.6
2005,SH_DYN_MORT,,,Y0T4,U,,PER_100_LIVE_BIRTHS,,76.0
2010,SH_DYN_MORT,,,Y0T4,U,,PER_100_LIVE_BIRTHS,,29.0
2014,SH_DYN_MORT,,,Y0T4,U,,PER_100_LIVE_BIRTHS,,18.0
2000,SH_DYN_MORT,,,Y0T4,R,,PER_100_LIVE_BIRTHS,,126.0
2005,SH_DYN_MORT,,,Y0T4,R,,PER_100_LIVE_BIRTHS,,111.0
2010,SH_DYN_MORT,,,Y0T4,R,,PER_100_LIVE_BIRTHS,,75.0
2014,SH_DYN_MORT,,,Y0T4,R,,PER_100_LIVE_BIRTHS,,52.0
2000,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,KH01,107.7
2005,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,KH01,96.0
2010,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,KH01,76.0
2014,SH_DYN_MORT,KH01,,Y0T4,,,PER_100_LIVE_BIRTHS,KH01,32.0
2000,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,KH03,133.8
2005,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,KH03,111.0
2010,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,KH03,58.0
2014,SH_DYN_MORT,KH03,,Y0T4,,,PER_100_LIVE_BIRTHS,KH03,48.0
2000,SH_DYN_MORT,KH04,,Y0T4,,,PER_100_LIVE_BIRTHS,KH04,160.0
2005,SH_DYN_MORT,KH04,,Y0T4,,,PER_100_LIVE_BIRTHS,KH04,101.0
2010,SH_DYN_MORT,KH04,,Y0T4,,,PER_100_LIVE_BIRTHS,KH04,97.0
2014,SH_DYN_MORT,KH04,,Y0T4,,,PER_100_LIVE_BIRTHS,KH04,55.0
2000,SH_DYN_MORT,KH05,,Y0T4,,,PER_100_LIVE_BIRTHS,KH05,89.5
2005,SH_DYN_MORT,KH05,,Y0T4,,,PER_100_LIVE_BIRTHS,KH05,122.0
2010,SH_DYN_MORT,KH05,,Y0T4,,,PER_100_LIVE_BIRTHS,KH05,73.0
2014,SH_DYN_MORT,KH05,,Y0T4,,,PER_100_LIVE_BIRTHS,KH05,31.0
2000,SH_DYN_MORT,KH06,,Y0T4,,,PER_100_LIVE_BIRTHS,KH06,98.8
2005,SH_DYN_MORT,KH06,,Y0T4,,,PER_100_LIVE_BIRTHS,KH06,106.0
2010,SH_DYN_MORT,KH06,,Y0T4,,,PER_100_LIVE_BIRTHS,KH06,67.0
2014,SH_DYN_MORT,KH06,,Y0T4,,,PER_100_LIVE_BIRTHS,KH06,60.0
2000,SH_DYN_MORT,KH08,,Y0T4,,,PER_100_LIVE_BIRTHS,KH08,108.2
2005,SH_DYN_MORT,KH08,,Y0T4,,,PER_100_LIVE_BIRTHS,KH08,101.0
2010,SH_DYN_MORT,KH08,,Y0T4,,,PER_100_LIVE_BIRTHS,KH08,69.0
2014,SH_DYN_MORT,KH08,,Y0T4,,,PER_100_LIVE_BIRTHS,KH08,40.0
2000,SH_DYN_MORT,KH09,,Y0T4,,,PER_100_LIVE_BIRTHS,KH09,90.8
2005,SH_DYN_MORT,KH10,,Y0T4,,,PER_100_LIVE_BIRTHS,KH10,116.0
2010,SH_DYN_MORT,KH10,,Y0T4,,,PER_100_LIVE_BIRTHS,KH10,86.0
2014,SH_DYN_MORT,KH10,,Y0T4,,,PER_100_LIVE_BIRTHS,KH10,80.0
2005,SH_DYN_MORT,KH22,,Y0T4,,,PER_100_LIVE_BIRTHS,KH22,110.0
2010,SH_DYN_MORT,KH22,,Y0T4,,,PER_100_LIVE_BIRTHS,KH22,47.0
