Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2015,N_KH_040c04_01,,AGG_2_3,PT,,32.0
2016,N_KH_040c04_01,,AGG_2_3,PT,,85.8
2017,N_KH_040c04_01,,AGG_2_3,PT,,85.0
2018,N_KH_040c04_01,,AGG_2_3,PT,,86.0
2019,N_KH_040c04_01,,AGG_2_3,PT,,86.8
2020,N_KH_040c04_01,,AGG_2_3,PT,,87.5
