Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_150902_01,,NUMBER,,6
2016,N_KH_150902_01,,NUMBER,,10
2017,N_KH_150902_01,,NUMBER,,29
2018,N_KH_150902_01,,NUMBER,,3
2020,N_KH_150902_01,,NUMBER,,2
