Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
1992,N_KH_180101_01,,HA,,8488
1999,N_KH_180101_01,,HA,,10050
2000,N_KH_180101_01,,HA,,13258
2001,N_KH_180101_01,,HA,,16726
2002,N_KH_180101_01,,HA,,20935
2003,N_KH_180101_01,,HA,,24136
2004,N_KH_180101_01,,HA,,28201
2005,N_KH_180101_01,,HA,,33390
2006,N_KH_180101_01,,HA,,38926
2007,N_KH_180101_01,,HA,,45463
2008,N_KH_180101_01,,HA,,51600
2009,N_KH_180101_01,,HA,,6136
2010,N_KH_180101_01,,HA,,11950
2011,N_KH_180101_01,,HA,,14150
2012,N_KH_180101_01,,HA,,8293
2013,N_KH_180101_01,,HA,,8920
2014,N_KH_180101_01,,HA,,18213
2015,N_KH_180101_01,,HA,,18531
2016,N_KH_180101_01,,HA,,19087
2017,N_KH_180101_01,,HA,,19659
2018,N_KH_180101_01,,HA,,20049
2019,N_KH_180101_01,,HA,,20857
2020,N_KH_180101_01,,HA,,21482
