Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,GeoCode,Value
2010,N_KH_030602_01,,Y_GE18,PT,,53.5
2016,N_KH_030602_01,,Y_GE18,PT,,45.5
2017,N_KH_030602_01,,Y_GE18,PT,,45.5
2018,N_KH_030602_01,,Y_GE18,PT,,45.5
2019,N_KH_030602_01,,Y_GE18,PT,,45.4
2020,N_KH_030602_01,,Y_GE18,PT,,45.3
