Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SE_TRA_GRDL,,PT,,99.0
2016,SE_TRA_GRDL,,PT,,98.7
2017,SE_TRA_GRDL,,PT,,98.4
2018,SE_TRA_GRDL,,PT,,99.3
