Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_08020203_01,,PT,,-2
2016,N_KH_08020203_01,,PT,,22
2017,N_KH_08020203_01,,PT,,22
2018,N_KH_08020203_01,,PT,,6
2019,N_KH_08020203_01,,PT,,4
2020,N_KH_08020203_01,,PT,,14
