Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2005,N_KH_090102_01,,NUMBER,,1769327
2006,N_KH_090102_01,,NUMBER,,2340235
2007,N_KH_090102_01,,NUMBER,,2979116
2008,N_KH_090102_01,,NUMBER,,2878513
2009,N_KH_090102_01,,NUMBER,,2524294
2010,N_KH_090102_01,,NUMBER,,3051601
2011,N_KH_090102_01,,NUMBER,,3480843
2012,N_KH_090102_01,,NUMBER,,3997331
2013,N_KH_090102_01,,NUMBER,,4606281
2014,N_KH_090102_01,,NUMBER,,5168687
2015,N_KH_090102_01,,NUMBER,,5606317
2016,N_KH_090102_01,,NUMBER,,6201338
2017,N_KH_090102_01,,NUMBER,,6877284
2018,N_KH_090102_01,,NUMBER,,7626908
2019,N_KH_090102_01,,NUMBER,,8458241
2020,N_KH_090102_01,,NUMBER,,9380189
2005,N_KH_090102_02,,NUMBER,,158384
2006,N_KH_090102_02,,NUMBER,,159478
2007,N_KH_090102_02,,NUMBER,,187066
2008,N_KH_090102_02,,NUMBER,,182328
2009,N_KH_090102_02,,NUMBER,,143649
2010,N_KH_090102_02,,NUMBER,,136678
2011,N_KH_090102_02,,NUMBER,,144465
2012,N_KH_090102_02,,NUMBER,,172223
2013,N_KH_090102_02,,NUMBER,,214418
2014,N_KH_090102_02,,NUMBER,,298904
2015,N_KH_090102_02,,NUMBER,,436167
2016,N_KH_090102_02,,NUMBER,,423478
2017,N_KH_090102_02,,NUMBER,,432795
2018,N_KH_090102_02,,NUMBER,,442316
2019,N_KH_090102_02,,NUMBER,,452047
2020,N_KH_090102_02,,NUMBER,,461992
