Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
1993,N_KH_050502_01,,F,PT,,5.0
1998,N_KH_050502_01,,F,PT,,3.93
2003,N_KH_050502_01,,F,PT,,7.5
2008,N_KH_050502_01,,F,PT,,15.1
2013,N_KH_050502_01,,F,PT,,17.58
2018,N_KH_050502_01,,F,PT,,16.87
1993,N_KH_050502_02,,F,PT,,0.0
1998,N_KH_050502_02,,F,PT,,6.0
2003,N_KH_050502_02,,F,PT,,6.6
2008,N_KH_050502_02,,F,PT,,8.0
2013,N_KH_050502_02,,F,PT,,20.54
2018,N_KH_050502_02,,F,PT,,16.36
