Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2000,IT_USE_II99,,NUMBER,,3482
2001,IT_USE_II99,,NUMBER,,5096
2002,IT_USE_II99,,NUMBER,,6564
2003,IT_USE_II99,,NUMBER,,7152
2004,IT_USE_II99,,NUMBER,,7671
2005,IT_USE_II99,,NUMBER,,8632
2006,IT_USE_II99,,NUMBER,,9049
2007,IT_USE_II99,,NUMBER,,11779
2008,IT_USE_II99,,NUMBER,,20108
2009,IT_USE_II99,,NUMBER,,291589
2010,IT_USE_II99,,NUMBER,,193858
2011,IT_USE_II99,,NUMBER,,1689389
2012,IT_USE_II99,,NUMBER,,2706922
2013,IT_USE_II99,,NUMBER,,3861979
2014,IT_USE_II99,,NUMBER,,5025945
2015,IT_USE_II99,,NUMBER,,6443976
2016,IT_USE_II99,,NUMBER,,8099132
2017,IT_USE_II99,,NUMBER,,10841728
2018,IT_USE_II99,,NUMBER,,13611398
