Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
1994,NY_GDP_PCAP,,PT,,-34.8
1995,NY_GDP_PCAP,,PT,,9.9
1996,NY_GDP_PCAP,,PT,,5.9
1997,NY_GDP_PCAP,,PT,,4.0
1998,NY_GDP_PCAP,,PT,,4.7
1999,NY_GDP_PCAP,,PT,,12.7
2000,NY_GDP_PCAP,,PT,,10.7
2001,NY_GDP_PCAP,,PT,,7.4
2002,NY_GDP_PCAP,,PT,,6.6
2003,NY_GDP_PCAP,,PT,,8.5
2004,NY_GDP_PCAP,,PT,,10.3
2005,NY_GDP_PCAP,,PT,,13.3
2006,NY_GDP_PCAP,,PT,,10.8
2007,NY_GDP_PCAP,,PT,,10.2
2008,NY_GDP_PCAP,,PT,,6.7
2009,NY_GDP_PCAP,,PT,,0.1
2010,NY_GDP_PCAP,,PT,,6.0
2011,NY_GDP_PCAP,,PT,,7.1
2012,NY_GDP_PCAP,,PT,,7.3
2013,NY_GDP_PCAP,,PT,,7.4
2014,NY_GDP_PCAP,,PT,,7.1
2015,NY_GDP_PCAP,,PT,,7.0
2016,NY_GDP_PCAP,,PT,,7.0
2017,NY_GDP_PCAP,,PT,,7.0
2018,NY_GDP_PCAP,,PT,,7.5
2019,NY_GDP_PCAP,,PT,,7.1
