Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,N_KH_08020201_01,,PT,,15
2016,N_KH_08020201_01,,PT,,-4
2017,N_KH_08020201_01,,PT,,25
2018,N_KH_08020201_01,,PT,,92
2019,N_KH_08020201_01,,PT,,-1
2020,N_KH_08020201_01,,PT,,19
