Year,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2016,SI_HEI_TOTL,,B40,PT,,5.2
2020,SI_HEI_TOTL,,B40,PT,,9.2
