Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,27.0
2016,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,47.9
2017,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,48.2
2018,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,46.7
2019,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,51.1
2020,4.a.1 Proportion of schools with access to basic drinking water,,Percent,,55.6
