Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,4.c.5Percentage of teachers who received in-service training,,Percent,,2.0
2016,4.c.5Percentage of teachers who received in-service training,,Percent,,3.9
2017,4.c.5Percentage of teachers who received in-service training,,Percent,,5.9
2018,4.c.5Percentage of teachers who received in-service training,,Percent,,9.5
2019,4.c.5Percentage of teachers who received in-service training,,Percent,,11.2
2020,4.c.5Percentage of teachers who received in-service training,,Percent,,12.9
