Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2000,SH_STA_BRTC,,,PT,,31.8
2005,SH_STA_BRTC,,,PT,,43.8
2010,SH_STA_BRTC,,,PT,,71.0
2014,SH_STA_BRTC,,,PT,,89.0
2015,SH_STA_BRTC,,,PT,,89.0
2016,SH_STA_BRTC,,,PT,,85.0
2017,SH_STA_BRTC,,,PT,,89.0
2018,SH_STA_BRTC,,,PT,,87.3
2000,SH_STA_BRTC,,U,PT,,57.2
2005,SH_STA_BRTC,,U,PT,,70.1
2010,SH_STA_BRTC,,U,PT,,94.7
2014,SH_STA_BRTC,,U,PT,,97.8
2000,SH_STA_BRTC,,R,PT,,28.0
2005,SH_STA_BRTC,,R,PT,,39.4
2010,SH_STA_BRTC,,R,PT,,66.6
2014,SH_STA_BRTC,,R,PT,,87.6
2000,SH_STA_BRTC,KH01,,PT,KH01,36.6
2005,SH_STA_BRTC,KH01,,PT,KH01,33.1
2010,SH_STA_BRTC,KH01,,PT,KH01,69.0
2014,SH_STA_BRTC,KH01,,PT,KH01,95.8
2000,SH_STA_BRTC,KH03,,PT,KH03,22.5
2005,SH_STA_BRTC,KH03,,PT,KH03,45.9
2010,SH_STA_BRTC,KH03,,PT,KH03,67.9
2014,SH_STA_BRTC,KH03,,PT,KH03,91.5
2000,SH_STA_BRTC,KH04,,PT,KH04,16.6
2005,SH_STA_BRTC,KH04,,PT,KH04,37.2
2010,SH_STA_BRTC,KH04,,PT,KH04,59.8
2014,SH_STA_BRTC,KH04,,PT,KH04,97.6
2000,SH_STA_BRTC,KH05,,PT,KH05,15.1
2005,SH_STA_BRTC,KH05,,PT,KH05,22.7
2010,SH_STA_BRTC,KH05,,PT,KH05,68.2
2014,SH_STA_BRTC,KH05,,PT,KH05,89.3
2000,SH_STA_BRTC,KH06,,PT,KH06,15.4
2005,SH_STA_BRTC,KH06,,PT,KH06,24.5
2010,SH_STA_BRTC,KH06,,PT,KH06,47.7
2014,SH_STA_BRTC,KH06,,PT,KH06,80.4
2000,SH_STA_BRTC,KH08,,PT,KH08,53.0
2005,SH_STA_BRTC,KH08,,PT,KH08,73.5
2010,SH_STA_BRTC,KH08,,PT,KH08,87.0
