Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2015,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
2016,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
2017,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
2018,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
2019,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
2020,១០.ខ.១.  បរិមាណហិរញ្ញប្បទានសហប្រតិបត្តិការសរុប សម្រាប់កម្ពុជា,,ដុល្លារ​អាមេរិក,,1425
