Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2016,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,,ភាគរយ,,70
2017,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,,ភាគរយ,,70
2018,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,,ភាគរយ,,70
2019,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,,ភាគរយ,,70
2020,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,,ភាគរយ,,70
