Year,SERIES,តំបន់យោង,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2015,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,32.0
2016,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,85.8
2017,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,85.0
2018,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,86.0
2019,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,86.8
2020,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,អនុវិទ្យាល័យ (អនុវិទ្យាល័យនិងមធ្យមសិក្សាទុតិយភូមិ),ភាគរយ,,87.5
