Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2016,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,Female,15 years old and over,Percent,,30.8
2018,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,Female,15 years old and over,Percent,,30.0
