Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2015,N_KH_040c02_01,,ISCED11_02,PT,,56.0
2016,N_KH_040c02_01,,ISCED11_02,PT,,62.1
2017,N_KH_040c02_01,,ISCED11_02,PT,,63.6
2018,N_KH_040c02_01,,ISCED11_02,PT,,64.0
2019,N_KH_040c02_01,,ISCED11_02,PT,,65.3
2020,N_KH_040c02_01,,ISCED11_02,PT,,66.7
