Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2015,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,4
2016,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,4
2017,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,4
2018,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,4
2019,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,4
2020,១១.៦.៤ កម្រិតជាមធ្យមប្រចាំឆ្នាំនៃប៉ារ៉ាម៉ែត្រ CO NO2  SO2 TSP  PM2.5 and PM10,,ភាគរយ,,5
