Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SE_ACS_SANIT,,PT,,57.0
2016,SE_ACS_SANIT,,PT,,62.5
2017,SE_ACS_SANIT,,PT,,69.0
2018,SE_ACS_SANIT,,PT,,68.7
2019,SE_ACS_SANIT,,PT,,71.3
2020,SE_ACS_SANIT,,PT,,73.9
