Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
1992,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,8488
1999,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,10050
2000,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,13258
2001,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,16726
2002,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,20935
2003,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,24136
2004,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,28201
2005,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,33390
2006,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,38926
2007,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,45463
2008,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,51600
2009,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,6136
2010,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,11950
2011,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,14150
2012,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,8293
2013,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,8920
2014,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,18213
2015,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,18531
2016,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,19087
2017,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,19659
2018,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,20049
2019,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,20857
2020,18.1.1 Total cumulated areas cleared of mines/ERW,,Hectares,,21482
