Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SE_ACS_H2O,,PT,,27.0
2016,SE_ACS_H2O,,PT,,47.9
2017,SE_ACS_H2O,,PT,,48.2
2018,SE_ACS_H2O,,PT,,46.7
2019,SE_ACS_H2O,,PT,,51.1
2020,SE_ACS_H2O,,PT,,55.6
