Year,Value,GeoCode,UNIT_MEASURE,SERIES
1998,5.3,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2000,4.0,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2004,3.34,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2005,3.4,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2008,3.1,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2010,3.0,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2013,2.37,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2014,2.7,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2019,2.51,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
