Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2015,៤.គ.១ ភាគរយគ្រូបង្រៀននៅមត្តេយ្យសិក្សា បឋមសិក្សា មធ្យមសិក្សាបឋមភូមិ និងមធ្យមសិក្សាទុតិយភូមិ ដែលបានឆ្លងកាត់ការបណ្តុះបណ្តាលនិងវិកឹ្រតការ,,ភាគរយ,,99.0
2016,៤.គ.១ ភាគរយគ្រូបង្រៀននៅមត្តេយ្យសិក្សា បឋមសិក្សា មធ្យមសិក្សាបឋមភូមិ និងមធ្យមសិក្សាទុតិយភូមិ ដែលបានឆ្លងកាត់ការបណ្តុះបណ្តាលនិងវិកឹ្រតការ,,ភាគរយ,,98.7
2017,៤.គ.១ ភាគរយគ្រូបង្រៀននៅមត្តេយ្យសិក្សា បឋមសិក្សា មធ្យមសិក្សាបឋមភូមិ និងមធ្យមសិក្សាទុតិយភូមិ ដែលបានឆ្លងកាត់ការបណ្តុះបណ្តាលនិងវិកឹ្រតការ,,ភាគរយ,,98.4
2018,៤.គ.១ ភាគរយគ្រូបង្រៀននៅមត្តេយ្យសិក្សា បឋមសិក្សា មធ្យមសិក្សាបឋមភូមិ និងមធ្យមសិក្សាទុតិយភូមិ ដែលបានឆ្លងកាត់ការបណ្តុះបណ្តាលនិងវិកឹ្រតការ,,ភាគរយ,,99.3
