Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,4
2016,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,9
2017,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,14
2018,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,18
2019,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,23
2020,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,,Number,,27
