Year,SERIES,Reference area,Age,UNIT_MEASURE,GeoCode,Value
2015,3.a.2 Prevalence of tobacco use among youth aged 13-15,,13 to 15 years old,Percent,,6.3
2020,3.a.2 Prevalence of tobacco use among youth aged 13-15,,13 to 15 years old,Percent,,5.0
