Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2018,៨.២.៣.១ ចំនួនប្រភេទផលិតផលទំនិញនិងសេវាកម្ម ដែលបានកែច្នៃឬអភិវឌ្ឍនិងបានបញ្ចូលទៅក្នុងការជំរុញចលនាភូម១ ផលិតផល១,,ចំនួន,,75
2019,៨.២.៣.១ ចំនួនប្រភេទផលិតផលទំនិញនិងសេវាកម្ម ដែលបានកែច្នៃឬអភិវឌ្ឍនិងបានបញ្ចូលទៅក្នុងការជំរុញចលនាភូម១ ផលិតផល១,,ចំនួន,,125
2020,៨.២.៣.១ ចំនួនប្រភេទផលិតផលទំនិញនិងសេវាកម្ម ដែលបានកែច្នៃឬអភិវឌ្ឍនិងបានបញ្ចូលទៅក្នុងការជំរុញចលនាភូម១ ផលិតផល១,,ចំនួន,,50
