Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems,,Percent,,0.038
2017,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems,,Percent,,0.038
2018,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems,,Percent,,0.036
2019,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems,,Percent,,0.031
2020,15.b.1 Official development assistance for conservation and sustainable use of biodiversity and ecosystems,,Percent,,0.029
