Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,Percent,,10
2017,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,Percent,,12
2018,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,Percent,,15
2019,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,Percent,,17
2020,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",,Percent,,20
