Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,13.2.2 Percentage of increase in public expenditure for climate change,,Percent,,1.2
2017,13.2.2 Percentage of increase in public expenditure for climate change,,Percent,,0.9
