Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,,Percent,,1.65
2017,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,,Percent,,1.54
2018,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,,Percent,,1.44
2019,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,,Percent,,1.34
2020,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,,Percent,,1.25
