Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,15.2.1 Percentage of sustainable forest protection and management,,Percent,,40
2018,15.2.1 Percentage of sustainable forest protection and management,,Percent,,45
2019,15.2.1 Percentage of sustainable forest protection and management,,Percent,,45
2020,15.2.1 Percentage of sustainable forest protection and management,,Percent,,60
