Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
2016,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
2017,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
2018,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
2019,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
2020,10.b.1.  Total official development assistance for Cambodia,,USD,,1425
