Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),,Percent,,0.71
2017,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),,Percent,,0.66
2018,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),,Percent,,0.62
2019,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),,Percent,,0.58
2020,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),,Percent,,0.54
