Year,SERIES,Reference area,Age,UNIT_MEASURE,GeoCode,Value
2014,1.2.2 Proportion of children living in poverty measured by multiple dimensions according to national definitions,,under 18 years old,Percent,,50.7
2020,1.2.2 Proportion of children living in poverty measured by multiple dimensions according to national definitions,,under 18 years old,Percent,,42.3
