Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,8.2.2.2 Growth rate of online trade mark registration,,Percent,,-9
2016,8.2.2.2 Growth rate of online trade mark registration,,Percent,,4
2017,8.2.2.2 Growth rate of online trade mark registration,,Percent,,-11
2018,8.2.2.2 Growth rate of online trade mark registration,,Percent,,6
2019,8.2.2.2 Growth rate of online trade mark registration,,Percent,,5
2020,8.2.2.2 Growth rate of online trade mark registration,,Percent,,-3
